skeda
get-vin,1,7df,2,0902,0,0,00
unlock,2,74a,8,10002f0003000003,0,0,00
lock,3,74a,8,10002f0003000001,0,0,00
openwindow,4,74a,8,10002f0002000000,0,0,00
closewindow,5,74a,8,10002f0001000000,0,0,00
closervm,6,74a,8,10002f000c000001,0,0,00
openrvm,7,74a,8,10002f000c000002,0,0,00
dipped_headlight,8,70e,8,2f094b03,0,0,00
high_beam,9,70e,8,2f094e03,0,0,00
turn_signal_lamp,10,70e,8,2f094803,0,0,00
foglight,11,70e,8,2f095003,0,0,00
rearfoglamp,12,70e,8,2f094f03,0,0,00
brakelamp,13,70e,8,2f094d03,0,0,00
centrallockindicatorlight,14,70e,8,2f097603,0,0,00
reversing_lamp,15,70e,8,2f095103,0,0,00
dome_colck,16,70e,8,2f095703,0,0,00
windscreen_washers,17,70e,8,2f097403,0,0,00
signal_horn,18,70e,5,2f096603,0,0,00
frontdriverside_window,19,74a,8,2f041003,0,0,00
reardriverside_window,21,74a,8,2f041203,0,0,00
frontpassenger_window,23,74b,8,2f041103,0,0,00
rearpassenger_window,25,74b,8,2f041303,0,0,00
lighting,27,714,8,2f024d03ff000000,0,0,00
indicatorlight,28,714,8,2f024c03ff000000,0,0,00

