1479121434.850202,0350,8,05,28,84,66,6d,00,00,a2,R
1479121434.850423,02c0,8,14,00,00,00,00,00,00,00,R
1479121434.850977,0430,8,00,00,00,00,00,00,00,00,R
1479121434.851215,04b1,8,00,00,00,00,00,00,00,00,R
1479121434.851463,01f1,8,00,00,00,00,00,00,00,00,R
1479121434.851711,0153,8,00,00,00,ff,00,ff,00,00,R
1479121434.851963,0002,8,00,00,00,00,00,00,00,0a,R
1479121434.852202,018f,8,fe,36,00,00,00,3c,00,00,R
1479121434.852443,0130,8,03,80,00,ff,21,80,00,9d,R
1479121434.852687,0131,8,00,80,00,00,2d,7f,00,97,R
1479121434.852938,0140,8,00,00,00,00,14,20,20,e6,R
1479121434.853167,0260,8,1b,24,24,30,ff,90,6e,39,R
1479121434.853403,02a0,8,60,00,6b,1d,01,04,dd,00,R
1479121434.853633,0316,8,05,24,84,09,24,23,00,7d,R
1479121434.853867,0329,8,87,b9,7e,14,12,20,00,14,R
1479121434.854108,0545,8,d8,00,00,8a,00,00,00,00,R
1479121434.85429,02b0,5,8d,ff,00,07,02,R
1479121434.854947,043f,8,00,40,60,ff,5a,6c,08,00,R
1479121434.855198,0370,8,00,20,00,00,00,00,00,00,R
1479121434.855439,0440,8,ff,00,00,00,ff,6c,08,00,R
1479121434.860027,02c0,8,14,00,00,00,00,00,00,00,R
1479121434.860229,0350,8,05,28,94,66,6d,00,00,b2,R
1479121434.860841,04f0,8,00,00,00,80,00,4f,03,14,R
1479121434.861088,0002,8,00,00,00,00,00,00,01,17,R
1479121434.861332,0153,8,00,00,00,ff,00,ff,00,00,R
1479121434.861704,0316,8,05,24,84,09,24,23,00,7d,R
1479121434.861945,018f,8,fe,36,00,00,00,3c,00,00,R
1479121434.86218,0260,8,1b,24,24,30,ff,90,6e,06,R
1479121434.862421,0130,8,06,80,00,ff,13,80,01,9f,R
1479121434.862659,0131,8,09,80,00,00,1d,7f,01,2d,R
1479121434.862901,0140,8,00,00,00,00,16,20,21,f8,R
1479121434.86314,02a0,8,00,00,6b,1d,01,04,dd,00,R
1479121434.863375,0329,8,87,b9,7e,14,12,20,00,14,R
1479121434.86362,0545,8,d8,00,00,89,00,00,00,00,R
1479121434.864254,02b0,5,8d,ff,00,07,13,R
1479121434.864975,043f,8,00,40,60,ff,5a,6a,08,00,R
1479121434.865226,0370,8,00,20,00,00,00,00,00,00,R
1479121434.865464,0440,8,ff,00,00,00,ff,6a,08,00,R
1479121434.869396,05f0,2,f4,00,R
1479121434.869976,02c0,8,14,00,00,00,00,00,00,00,R
1479121434.870212,0350,8,05,28,a4,66,6d,00,00,82,R
1479121434.870969,0430,8,00,00,00,00,00,00,00,00,R
1479121434.871216,04b1,8,00,00,00,00,00,00,00,00,R
1479121434.871467,01f1,8,00,00,00,00,00,00,00,00,R
1479121434.871712,0153,8,00,00,00,ff,00,ff,00,00,R
1479121434.871964,0002,8,00,00,00,00,00,00,02,30,R
1479121434.872204,018f,8,fe,36,00,00,00,3c,00,00,R
1479121434.872437,0260,8,1b,24,24,30,ff,90,6e,17,R
